,Original,Standard,Robust,Quantile
Naive,102.37664480549287,102.37664480549287,102.37664480549286,102.37664480549283
SeasonalNaive,138.43524025360713,138.43524025360713,138.43524025360713,138.43524025360716
AutoTheta,107.35573158841771,106.08480278347814,105.70525742521203,108.55584190048144
AutoETS,395.1754526330423,108.13880122339056,108.10072898022914,102.20150839874788
CatBoost,117.32611559511689,173.8850456980501,6630484.397491248,166.70576746728713
PatchTST,103.14109974458772,103.51333202869765,104.99713902855815,106.27402301467701
